PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SG,Shake Milton (14074095),Shake Milton,14074095,PG/SG/G/UTIL,3300,PHI@HOU 01/03/2020 08:00PM ET,PHI,6.89
,,,,,,,,,SF/PF,Semi Ojeleye (14074099),Semi Ojeleye,14074099,SF/PF/F/UTIL,3300,ATL@BOS 01/03/2020 07:00PM ET,BOS,6.91
,,,,,,,,,PG,Chris Clemons (14074105),Chris Clemons,14074105,PG/G/UTIL,3200,PHI@HOU 01/03/2020 08:00PM ET,HOU,8.46
,,,,,,,,,PF/C,Gary Clark (14074108),Gary Clark,14074108,PF/C/F/UTIL,3200,PHI@HOU 01/03/2020 08:00PM ET,HOU,9.11
,,,,,,,,,SF/PF,James Ennis III (14074134),James Ennis III,14074134,SF/PF/F/UTIL,3200,PHI@HOU 01/03/2020 08:00PM ET,PHI,14.17
,,,,,,,,,C,Anzejs Pasecniks (14074103),Anzejs Pasecniks,14074103,C/UTIL,3200,POR@WAS 01/03/2020 07:00PM ET,WAS,17.69
,,,,,,,,,PF/C,Meyers Leonard (14074112),Meyers Leonard,14074112,PF/C/F/UTIL,3200,MIA@ORL 01/03/2020 07:00PM ET,MIA,14.46
,,,,,,,,,PF/C,Amile Jefferson (14074138),Amile Jefferson,14074138,PF/C/F/UTIL,3200,MIA@ORL 01/03/2020 07:00PM ET,ORL,3.32
,,,,,,,,,SG/SF,DeAndre' Bembry (14074124),DeAndre' Bembry,14074124,SG/SF/F/G/UTIL,3200,ATL@BOS 01/03/2020 07:00PM ET,ATL,17.30
,,,,,,,,,SG/SF,Allen Crabbe (14074129),Allen Crabbe,14074129,SG/SF/F/G/UTIL,3200,ATL@BOS 01/03/2020 07:00PM ET,ATL,11.93
,,,,,,,,,PG/SG,Frank Ntilikina (14074116),Frank Ntilikina,14074116,PG/SG/G/UTIL,3200,NY@PHO 01/03/2020 09:00PM ET,NY,16.14
,,,,,,,,,SF/PF,Kevin Knox (14074120),Kevin Knox,14074120,SF/PF/F/UTIL,3200,NY@PHO 01/03/2020 09:00PM ET,NY,15.72
,,,,,,,,,PF/C,Johnathan Williams (14074142),Johnathan Williams,14074142,PF/C/F/UTIL,3100,POR@WAS 01/03/2020 07:00PM ET,WAS,12.75
,,,,,,,,,SG/SF,Wes Iwundu (14074146),Wes Iwundu,14074146,SG/SF/F/G/UTIL,3100,MIA@ORL 01/03/2020 07:00PM ET,ORL,8.85
,,,,,,,,,SF/PF,Vince Carter (14074159),Vince Carter,14074159,SF/PF/F/UTIL,3100,ATL@BOS 01/03/2020 07:00PM ET,ATL,10.76
,,,,,,,,,PF/C,Frank Kaminsky (14074151),Frank Kaminsky,14074151,PF/C/F/UTIL,3100,NY@PHO 01/03/2020 09:00PM ET,PHO,22.08
,,,,,,,,,PG/SG,Tyler Johnson (14074155),Tyler Johnson,14074155,PG/SG/G/UTIL,3100,NY@PHO 01/03/2020 09:00PM ET,PHO,12.82
,,,,,,,,,SG/SF,Reggie Bullock (14074163),Reggie Bullock,14074163,SG/SF/F/G/UTIL,3100,NY@PHO 01/03/2020 09:00PM ET,NY,15
,,,,,,,,,C,Norvel Pelle (14074181),Norvel Pelle,14074181,C/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,8.75
,,,,,,,,,PG,Raul Neto (14074183),Raul Neto,14074183,PG/G/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,8.47
,,,,,,,,,SF/PF,Mike Scott (14074229),Mike Scott,14074229,SF/PF/F/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,12.08
,,,,,,,,,C,Tyson Chandler (14074290),Tyson Chandler,14074290,C/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,6.53
,,,,,,,,,C,Nene Hilario (14074292),Nene Hilario,14074292,C/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
,,,,,,,,,SG/SF,Gerald Green (14074294),Gerald Green,14074294,SG/SF/F/G/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
,,,,,,,,,SF/PF,Thabo Sefolosha (14074299),Thabo Sefolosha,14074299,SF/PF/F/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,6.48
,,,,,,,,,PG/SG,Michael Frazier (14074303),Michael Frazier,14074303,PG/SG/G/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
,,,,,,,,,SF/PF,William Howard (14074307),William Howard,14074307,SF/PF/F/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
,,,,,,,,,SG/SF,Marial Shayok (14074413),Marial Shayok,14074413,SG/SF/F/G/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,0
,,,,,,,,,PF/C,Jonah Bolden (14074418),Jonah Bolden,14074418,PF/C/F/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,1.75
,,,,,,,,,SG/SF,Matisse Thybulle (14074422),Matisse Thybulle,14074422,SG/SF/F/G/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,12.4
,,,,,,,,,SG/SF,Zhaire Smith (14074427),Zhaire Smith,14074427,SG/SF/F/G/UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,0
