PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
13993209,13992951,13993004,13992942,13993030,13992882,13992874,13992998,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PF/C,Trey Lyles (13993116),Trey Lyles,13993116,PF/C/F/UTIL,3400,BKN@SA 12/19/2019 08:30PM ET,SA,14.68
,,,,,,,,,SG/SF,David Nwaba (13993120),David Nwaba,13993120,SG/SF/F/G/UTIL,3400,BKN@SA 12/19/2019 08:30PM ET,BKN,10.88
,,,,,,,,,SF/PF,Vince Carter (13993112),Vince Carter,13993112,SF/PF/F/UTIL,3400,UTA@ATL 12/19/2019 07:30PM ET,ATL,11.48
,,,,,,,,,SG/SF,Kyle Korver (13993125),Kyle Korver,13993125,SG/SF/F/G/UTIL,3300,LAL@MIL 12/19/2019 08:00PM ET,MIL,10.98
,,,,,,,,,SG/SF,Wesley Matthews (13993130),Wesley Matthews,13993130,SG/SF/F/G/UTIL,3300,LAL@MIL 12/19/2019 08:00PM ET,MIL,14.54
,,,,,,,,,SF/PF,Jared Dudley (13993135),Jared Dudley,13993135,SF/PF/F/UTIL,3300,LAL@MIL 12/19/2019 08:00PM ET,LAL,5.07
,,,,,,,,,SG/SF,Rodney McGruder (13993139),Rodney McGruder,13993139,SG/SF/F/G/UTIL,3200,HOU@LAC 12/19/2019 10:30PM ET,LAC,10.42
,,,,,,,,,SG/SF,Timothe Luwawu-Cabarrot (13993144),Timothe Luwawu-Cabarrot,13993144,SG/SF/F/G/UTIL,3200,BKN@SA 12/19/2019 08:30PM ET,BKN,6.8
,,,,,,,,,SF/PF,JaMychal Green (13993151),JaMychal Green,13993151,SF/PF/F/UTIL,3100,HOU@LAC 12/19/2019 10:30PM ET,LAC,18.56
,,,,,,,,,PG,Derrick Walton Jr. (13993155),Derrick Walton Jr.,13993155,PG/G/UTIL,3100,HOU@LAC 12/19/2019 10:30PM ET,LAC,5.23
,,,,,,,,,SG/SF,Eric Gordon (13993158),Eric Gordon,13993158,SG/SF/F/G/UTIL,3100,HOU@LAC 12/19/2019 10:30PM ET,HOU,16.47
,,,,,,,,,SG/SF,Pat Connaughton (13993163),Pat Connaughton,13993163,SG/SF/F/G/UTIL,3100,LAL@MIL 12/19/2019 08:00PM ET,MIL,14.28
,,,,,,,,,C,Damian Jones (13993149),Damian Jones,13993149,C/UTIL,3100,UTA@ATL 12/19/2019 07:30PM ET,ATL,15.72
,,,,,,,,,PF/C,Patrick Patterson (13993179),Patrick Patterson,13993179,PF/C/F/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,LAC,11.49
,,,,,,,,,SG,Jerome Robinson (13993183),Jerome Robinson,13993183,SG/G/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,LAC,8.17
,,,,,,,,,PG,Chris Clemons (13993193),Chris Clemons,13993193,PG/G/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,HOU,7.55
,,,,,,,,,PF/C,Johnathan Motley (13993269),Johnathan Motley,13993269,PF/C/F/UTIL,3000,HOU@LAC 12/19/2019 10:30PM ET,LAC,3.75
