PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SF,Draymond Green (14003780),Draymond Green,14003780,PG/SF/F/G/UTIL,6500,NO@GS 12/20/2019 10:30PM ET,GS,29.18
,,,,,,,,,PG/SF,Will Barton (14003785),Will Barton,14003785,PG/SF/F/G/UTIL,6500,MIN@DEN 12/20/2019 09:00PM ET,DEN,32.17
,,,,,,,,,SG/SF,Buddy Hield (14003798),Buddy Hield,14003798,SG/SF/F/G/UTIL,6400,SAC@IND 12/20/2019 07:00PM ET,SAC,35.25
,,,,,,,,,PG/SG,Victor Oladipo (14003803),Victor Oladipo,14003803,PG/SG/G/UTIL,6400,SAC@IND 12/20/2019 07:00PM ET,IND,0
,,,,,,,,,PF/C,Zion Williamson (14003807),Zion Williamson,14003807,PF/C/F/UTIL,6400,NO@GS 12/20/2019 10:30PM ET,NO,0
,,,,,,,,,PG/SG,Jalen Brunson (14003811),Jalen Brunson,14003811,PG/SG/G/UTIL,6400,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.53
,,,,,,,,,SG/SF,Norman Powell (14003815),Norman Powell,14003815,SG/SF/F/G/UTIL,6300,WAS@TOR 12/20/2019 07:30PM ET,TOR,24.97
,,,,,,,,,SF/PF,Marcus Morris Sr. (14003820),Marcus Morris Sr.,14003820,SF/PF/F/UTIL,6300,NY@MIA 12/20/2019 08:00PM ET,NY,31.55
,,,,,,,,,SF/PF,Aaron Gordon (14003828),Aaron Gordon,14003828,SF/PF/F/UTIL,6300,ORL@POR 12/20/2019 10:00PM ET,ORL,28.68
,,,,,,,,,PF/C,Blake Griffin (14003832),Blake Griffin,14003832,PF/C/F/UTIL,6300,DET@BOS 12/20/2019 07:30PM ET,DET,27.97
,,,,,,,,,PF/C,Al Horford (14003824),Al Horford,14003824,PF/C/F/UTIL,6300,DAL@PHI 12/20/2019 08:00PM ET,PHI,32.46
